类型,唯一 ID,ID,名称,开始时间,结束时间,生存时间,
"Process",0,14736,"ZBYGate Data Collection.exe",0.00,"123,737.94","123,737.94",
"Thread",0,17372,"未知",0.00,"123,723.70","123,723.70",
"Thread",1,18236,"未知",0.00,"58,378.74","58,378.74",
"Thread",2,4028,"未知",0.01,"58,378.74","58,378.73",
"Thread",3,18340,"未知",0.01,"58,378.74","58,378.73",
"Thread",4,2780,"未知",0.01,"123,684.91","123,684.90",
"Thread",5,11388,"未知",0.01,"123,684.71","123,684.70",
"Thread",6,14012,"未知",0.01,"123,684.90","123,684.89",
"Thread",7,3856,"未知",0.01,"123,684.89","123,684.87",
"Thread",8,18404,"未知",0.01,"123,684.88","123,684.87",
"Thread",9,15128,"未知",0.01,"123,684.71","123,684.70",
"Thread",10,18392,"未知",0.01,"123,685.60","123,685.58",
"Thread",11,8116,"未知",0.02,"123,684.88","123,684.87",
"Thread",12,15040,"未知",0.02,"123,684.87","123,684.85",
"Thread",13,5148,"未知",0.02,"123,684.71","123,684.70",
"Thread",14,7832,"未知",0.02,"123,684.78","123,684.76",
"Thread",15,8404,"未知",0.02,"123,685.34","123,685.32",
"Thread",16,3116,"未知","4,793.42","123,684.76","118,891.34",
"Thread",17,9400,"未知","4,793.53","6,293.50","1,499.97",
"Thread",18,16136,"未知","8,766.09","10,266.32","1,500.23",
"Thread",19,6372,"未知","8,782.32","28,795.67","20,013.35",
"Thread",20,14328,"未知","8,783.26","123,684.75","114,901.49",
"Thread",21,13964,"未知","8,783.65","123,684.75","114,901.10",
"Thread",22,13660,"未知","8,786.69","123,684.71","114,898.02",
"Thread",23,16592,"未知","8,787.87","123,684.78","114,896.91",
"Thread",24,14084,"未知","9,794.16","123,684.86","113,890.70",
"Thread",25,17476,"未知","9,794.25","123,684.85","113,890.61",
"Thread",26,17328,"未知","9,794.32","123,684.85","113,890.53",
"Thread",27,15280,"未知","18,786.30","20,286.50","1,500.20",
"Thread",28,5732,"未知","23,690.51","25,190.82","1,500.31",
"Thread",29,14856,"未知","28,796.58","30,296.82","1,500.23",
"Thread",30,15016,"未知","38,702.93","40,203.11","1,500.18",
"Thread",31,13860,"未知","48,798.17","50,298.42","1,500.25",
"Thread",32,9612,"未知","53,689.48","55,189.56","1,500.08",
"Thread",33,4252,"未知","58,799.50","60,299.74","1,500.25",
"Thread",34,12984,"未知","63,986.57","65,486.72","1,500.15",
"Thread",35,2932,"未知","68,702.84","70,203.04","1,500.20",
"Thread",36,13944,"未知","78,813.05","80,313.25","1,500.20",
"Thread",37,12900,"未知","83,703.25","85,203.44","1,500.19",
"Thread",38,11600,"未知","88,814.34","90,314.51","1,500.18",
"Thread",39,2044,"未知","98,688.73","100,188.89","1,500.16",
"Thread",40,16880,"未知","108,407.50","109,907.42","1,499.93",
"Thread",41,14112,"未知","108,422.76","123,422.67","14,999.91",
"Thread",42,5512,"未知","108,461.58","123,684.78","15,223.20",
"Thread",43,15656,"未知","108,466.18","123,684.84","15,218.66",
"Thread",44,9208,"未知","108,466.84","123,684.80","15,217.96",
"Thread",45,15816,"未知","108,467.03","123,684.83","15,217.80",
"Thread",46,14200,"未知","108,469.06","108,513.70",44.64,
"Thread",47,17776,"未知","108,514.29","123,684.80","15,170.51",
"Thread",48,17460,"未知","113,106.77","114,606.68","1,499.91",
"Thread",49,12916,"未知","118,408.60","123,684.80","5,276.20",
"Thread",50,8020,"未知","118,411.78","123,685.58","5,273.80",
"Thread",51,3776,"未知","118,438.59","123,685.57","5,246.98",
"Thread",52,12120,"未知","118,444.62","123,684.83","5,240.22",
"Thread",53,5456,"未知","118,770.40","120,270.50","1,500.10",
"Thread",54,2512,"未知","123,119.96","123,684.82",564.86,
"Thread",55,1604,"未知","123,597.00","123,684.81",87.81,
